S_No,Fruits,H_Mean,H_SD,H_Skewness,H_Kurtosis,S_Mean,S_SD,S_Skewness,S_Kurtosis,V_Contrast,V_Energy,V_Shade,V_Prominence
0,Empty,0,0,0,0,0,0,0,0,0,0,0,0
1,Apple,0.174785069088925,0.333036936056269,2.02432260263105,5.13988027664619,0.789363826675401,0.197205021047055,-0.97981245029493,3.3220007841827,0.0983899376889405,0.233512523929841,-2.52144370046949,30.2921719622197
2,Apple,0.781468146190958,0.373096492250627,-1.2908584476492,2.77763940225546,0.71406294221054,0.302506638194525,-0.971405053711621,2.41213957236896,0.118110962069465,0.303618259274936,32.3689640046786,280.288906478855
3,Apple,0.898738222986412,0.285797310122667,-2.77849757878796,8.72583880257885,0.675302428825648,0.190292954011257,-1.00289555776099,2.91238228638087,0.136526131644887,0.247999540727243,8.32587357346322,66.1034371056217
4,Apple,0.119217161163897,0.283642335159888,2.73185575177952,8.49749414844804,0.707476798607966,0.171751405358764,-0.792669381662768,3.85906032698811,0.241749132262848,0.221638061244881,7.02760908460568,62.0844440524855
5,Apple,0.596694168445315,0.461366061581739,-0.357349999300133,1.18853672018728,0.846836301457465,0.176142882670026,-1.14193278285964,3.41898049389174,0.214688948728394,0.21800771345278,11.0432354212776,84.5702397582903
6,Apple,0.74211301700521,0.417884878640389,-1.13520634040029,2.29375862430067,0.684894280594728,0.149156517086893,-0.582386542232803,3.67427179114239,0.311686546312234,0.273568461910264,7.64393640064733,47.9299684544222
7,Apple,0.070833680046091,0.163511074341681,5.20627923548201,29.5944570564657,0.609241583351391,0.137152052052895,-0.552650061379016,2.74882555885098,0.121132778518735,0.183278480403384,0.370069976586785,65.0001259246964
8,Apple,0.935220830242842,0.207593889348448,-3.47967786529019,13.2975524411947,0.711693132554036,0.182145826836167,-1.22048769616065,3.75546103962491,0.103575751676499,0.24636796402262,15.1128066123799,131.202462866176
9,Apple,0.413749549005449,0.483341251504451,0.374003449412771,1.14203517492365,0.815504253245419,0.164542547046298,-1.20515647409652,3.87744324880765,0.212700683695349,0.300912177849624,7.06367752945742,40.7968513439343
10,Apple,0.90681279803846,0.252321782766452,-3.20290760749964,11.3114208748408,0.619557526112916,0.228656894009623,-0.538857008210107,2.25191299287765,0.246444486850568,0.180629682010703,23.6199735814567,217.472451789786
11,Banana,0.120854353280401,0.0163144880687722,-3.33186068405193,16.0896424669914,0.902762436638259,0.15022542587801,-1.53384131346829,4.37995244824159,0.0282624778423305,0.465259303249999,-9.02867179715899,75.0456616983162
12,Banana,0.151311018166799,0.0436504523780263,13.5729713039906,254.90276536508,0.617597601503511,0.135348375487748,0.358895899304957,3.11017520959282,0.0699063225923869,0.288243771172655,-20.9267065587776,192.714083352607
13,Banana,0.123524048229266,0.0144680463960339,-3.75655954585665,20.0221183255784,0.864326648924861,0.180816716607614,-1.14438022666406,3.1548559305908,0.0915549440999151,0.401938002126869,-8.27546862143506,65.4029792091017
14,Banana,0.136836115056904,0.00911287158146899,0.458264518525231,6.80160246216438,0.698530202300757,0.21995027855895,-0.636756551677396,2.46659054971623,0.143045648166586,0.295527378378483,2.08386057428674,21.2096071686323
15,Banana,0.12348569438057,0.0135710142026782,28.1714402741576,1873.84188922649,0.907140177505401,0.11035928826773,-0.998345570316008,2.82349141437219,0.0585743032639024,0.393596042502471,-4.41797305995787,32.7265404775603
16,Banana,0.12444525687482,0.00887294188134341,1.71706785454614,15.7750614665426,0.756752351300454,0.10697344889729,0.0511076809032617,3.78495439686142,0.0856920490191512,0.31167987817467,-6.81320037220269,50.9070779423521
17,Banana,0.116658426558854,0.0109278709755342,-0.979566103894174,4.68968481621592,0.76052038059844,0.154509715959847,0.144531219616004,1.79144273059118,0.0507975325500359,0.319660407513049,-20.2964639236746,152.033249634853
18,Banana,0.123701467418562,0.00619954085176898,-3.93313876292375,24.5001781632787,0.628018142258294,0.0896270852000968,-0.590173693428225,4.28055336357761,0.0639438936274959,0.422036995023887,-2.37590859548602,17.4370994558212
19,Banana,0.153382949016564,0.0283504039486145,4.36581983885126,22.2416085300425,0.849529740984485,0.142741569997877,-1.83918491172278,7.21158166932537,0.0263750928507441,0.461782567340956,-7.27014162097709,49.8483269595796
20,Banana,0.128860355367303,0.0149382468575256,-0.150235673392945,25.6045334111951,0.915051582946549,0.124234734590776,-1.69255038847803,4.93151437607894,0.156544120254844,0.276962229985652,-16.345830644616,118.15990763391
21,Guava,0.192871789046661,0.0100117997730887,-2.52682823916581,29.7837132562146,0.625005051929993,0.227250887133317,-0.249510388133018,2.33129181540101,0.137679301781862,0.177318070658406,0.055545260517927,76.5506214459911
22,Guava,0.191909181915936,0.00585299657102491,-2.0817768128211,14.6247936623158,0.508273713560362,0.116912410536274,-0.808618036605021,3.41526689731464,0.160844376525843,0.311835430497526,3.59350073077851,24.1258898258641
23,Guava,0.179388882287985,0.0102654221410591,-0.235721714189134,52.4030667915355,0.647541556655111,0.204821544607617,-0.324712413648136,2.33681307579368,0.0945753551358128,0.271673010820703,-1.48808106877654,21.705314378314
24,Guava,0.202926630307269,0.0137654939744372,-2.05025584190471,31.6262303112439,0.648749682139187,0.173321617477305,-0.415535348925106,3.3648381681766,0.288350832625843,0.109637162209538,-3.31131796107762,174.61810080364
25,Guava,0.193331492065774,0.0358711869009574,0.486879283742383,58.8377989239945,0.803312980299041,0.177689239166644,-0.852389199143608,2.90335803880001,0.303413803079757,0.156899642039218,2.28119311554017,76.810050905652
26,Strawberry,0.554722595109854,0.465689364350093,-0.144871718987773,1.05003102813902,0.697512550756279,0.250497515729827,-0.662028125552006,2.40922822741751,0.605022325656799,0.0885163916744076,12.7954522135232,198.215674389847
27,Strawberry,0.707962090083419,0.421847783848418,-0.862304294295589,1.77489623369531,0.790699370631562,0.204964698375222,-0.928749092758398,3.21306308271088,0.588766268796152,0.112610096392975,12.4773469044723,134.018161366414
28,Strawberry,0.244756101609723,0.384011184089145,1.39516997773934,3.0350925789474,0.684784451452623,0.257320183808879,-0.38379140636789,1.71682486913844,0.517936940371617,0.139845302823492,9.2471718272279,87.3511406294937
